,symbol,synonymSymbol,scientificNameWithAuthor,commonName,family
71378,PTERO3,,Pterospora Nutt.,pinedrops,Monotropaceae
84964,SYLA,,Synthyris laciniata (A. Gray) Rydb.,western kittentails,Scrophulariaceae
5887,ARHOM,ARPUM4,Arctostaphylos pungens Kunth ssp. montana (Eastw.) J.B. Roof,,
36106,FIAM,FIPE2,Ficus perforata L.,,
25614,CYRER2,,Cyperus retrorsus Chapm. var. retrorsus,pine barren flatsedge,Cyperaceae
78646,SCCH3,SCCHP,Scaevola chamissoniana Gaudich. var. piccoi O. Deg. & I. Deg.,,
63060,PELAS,PELAS3,Penstemon laetus A. Gray var. sagittatus (D.D. Keck) McMinn,,
90163,VADE3,,Valerianella dentata (L.) Pollich,narrowfruit cornsalad,Valerianaceae
67229,PLMAJ,PLMAJ2,Plantago maritima L. ssp. juncoides (Lam.) Hultén,,
31478,EPAR,,Ephedra ×arenicola Cutler,sand jointfir,Ephedraceae
19507,CICA10,CATR19,Carduus truncatus Greene,,
64939,PHKE,,Phlox kelseyi Britton,Kelsey's phlox,Polemoniaceae
21616,COFRS,COST18,Cotoneaster sternianus (Turrill) Boom,,
17604,CERAT8,,Ceratolejeunea (Spruce) Schiffn.,,Lejeuneaceae
12208,BRVA4,,Bromus variegatus M. Bieb.,,Poaceae
36846,FRMA5,,Fraxinus mandshurica Rupr.,Manchurian ash,Oleaceae
52844,MACAC3,MADI7,Machaeranthera divaricata (Nutt.) Greene,,
42403,HOSE2,HEMI15,Hedyotis michauxii Fosberg,,
20718,CLPE2,,Clermontia peleana Rock,pele clermontia,Campanulaceae
63076,PELE8,PESPL,Penstemon speciosus Douglas ex Lindl. ssp. lemhiensis D.D. Keck,,
80202,SEOR2,GOWA,Gormania watsonii Britton,,
59137,OLAL2,ASPTG,Aster ptarmicoides (Nees) Torr. & A. Gray var. georgianus A. Gray,,
77077,SAHA,SAHAS2,Salix hastata L. var. subintegrifolia Flod.,,
33238,ERNAL,CHNAA6,Chrysothamnus nauseosus (Pall. ex Pursh) Britton var. abbreviatus (M.E. Jones) S.F. Blake,,
33805,ERSP16,ERVAG,Eryngium vaseyi J.M. Coult. & Rose var. globosum Hoover ex Mathias & Constance,,
49358,LILA6,LILAS2,Lipochaeta lavarum (Gaudich.) DC. var. skottsbergii Sherff,,
27114,DESC3,DEWI2,Desmodium wigginsii B.G. Schub.,,
71932,PYLAS,PYSU2,Pyrrocoma subviscosa Greene,,
34054,ERUT,,Erigeron utahensis A. Gray,Utah fleabane,Asteraceae
79777,SECO2,SECOT2,Senecio congestus (R. Br.) DC. var. tonsus Fernald,,
16490,CASY2,,Casearia sylvestris Sw.,crackopen,Flacourtiaceae
27579,DICU,DICUO,Dicentra cucullaria (L.) Bernh. var. occidentalis (Rydb.) M. Peck,,
78185,SASE7,,Saxifraga serpyllifolia Pursh,thymeleaf saxifrage,Saxifragaceae
56888,MUMI2,,Muhlenbergia minutissima (Steud.) Swallen,annual muhly,Poaceae
71281,PSTEG,,Psilocarphus tenellus Nutt. var. globiferus (Bertero ex DC.) Morefield,slender woollyheads,Asteraceae
28094,DIOL2,,Dichodontium olympicum Renauld & Cardot,Olympic dichodontium moss,Dicranaceae
41748,HIFL3,,Hieracium ×floribundum Wimm. & Grab. (pro sp.),hawkweed,Asteraceae
93127,ZUCKI,,Zuckia Standl.,zuckia,Chenopodiaceae
17125,CEDI2,CEDE8,Ceanothus decumbens S. Watson,,
67029,PLFLF,PESC7,Perularia scutellata (Nutt.) Small,,
